borough,GSSCode,2021,2011,2001,percentChange
Barking and Dagenham,E09000002,53389,25520,7148,109.2045455
Barnet,E09000003,47688,36744,19373,29.7844546
Bexley,E09000004,9721,5645,3069,72.20549159
Brent,E09000005,72574,58036,32290,25.04996898
Bromley,E09000006,10876,7841,4926,38.7067976
Camden,E09000007,33830,26643,22906,26.97519048
City of London,E09000001,540,409,403,32.02933985
Croydon,E09000008,40717,29513,17642,37.96293159
Ealing,E09000009,68907,53198,31033,29.52930561
Enfield,E09000010,61477,52141,26306,17.90529526
Greenwich,E09000011,24715,17349,9199,42.45777855
Hackney,E09000012,34578,34727,27908,-0.429060961
Hammersmith and Fulham,E09000013,21290,18242,11314,16.70869422
Haringey,E09000014,33295,36130,24371,-7.846664821
Harrow,E09000015,41503,29881,14915,38.89428065
Havering,E09000016,16135,4829,1800,234.1271485
Hillingdon,E09000017,44077,29065,11258,51.64975056
Hounslow,E09000018,48028,35666,19378,34.66046094
Islington,E09000019,25840,19521,14259,32.37026792
Kensington and Chelsea,E09000020,16865,15812,13364,6.659499115
Kingston upon Thames,E09000021,13366,9474,5777,41.08085286
Lambeth,E09000022,25871,21500,14344,20.33023256
Lewisham,E09000023,22264,17759,11491,25.36741934
Merton,E09000024,21673,16262,10899,33.27389005
Newham,E09000025,122146,98456,59293,24.06150971
Redbridge,E09000026,97068,64999,28487,49.33768212
Richmond upon Thames,E09000027,8492,6128,3887,38.5770235
Southwark,E09000028,29633,24551,16774,20.69976783
Sutton,E09000029,14736,7726,4103,90.73259125
Tower Hamlets,E09000030,123912,87696,71389,41.29720854
Waltham Forest,E09000031,60157,56541,32902,6.39535912
Wandsworth,E09000032,32519,24746,13529,31.41113715
Westminster,E09000033,40873,40073,21346,1.996356649
